"BehaviorSpace results (NetLogo 6.0.2)"
"vultures.nlogo"
"experiment"
"03/25/2018 00:51:59:129 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","2","3","4","5","6"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
,"2.1164021164021163","1.7621145374449338","2.6490066225165565","3.3333333333333335","2.272727272727273","4.545454545454546"
