"BehaviorSpace results (NetLogo 6.0.2)"
"vultures.nlogo"
"experiment"
"03/25/2018 02:03:32:905 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","0","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","0","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","0","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","0","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","0","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","0","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
,"0","2.2099447513812156","2.030456852791878","0","3.007518796992481","0","0","0","1.9138755980861244","0","3.007518796992481","2.4096385542168677","2.0833333333333335","0","1.7877094972067038","0","0","0"
